GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transfer,com.bank.transfer.controller,CardRestController,16,54,1,1,3,13,2,6,1,6
transfer,com.bank.transfer.controller,PhoneRestController,16,54,1,1,3,13,2,6,1,6
transfer,com.bank.transfer.controller,AccountRestController,16,57,1,1,3,14,2,6,1,6
transfer,com.bank.transfer.controller,AuditRestController,3,0,0,0,1,0,1,0,1,0
transfer,com.bank.transfer.dto,AccountTransferDTO,3,0,0,0,1,0,1,0,1,0
transfer,com.bank.transfer.aspects,AuditAspect,77,0,6,0,29,0,8,0,5,0
transfer,com.bank.transfer.serviceImpl,PhoneTransferServiceImpl,12,62,0,2,2,17,2,7,2,6
transfer,com.bank.transfer.serviceImpl,AccountTransferServiceImpl,6,67,0,2,1,18,1,8,1,7
transfer,com.bank.transfer.serviceImpl,CardTransferServiceImpl,12,62,0,2,2,17,2,7,2,6
transfer,com.bank.transfer,TransferApplication,5,3,0,0,2,1,1,1,1,1
transfer,com.bank.transfer.config,SwaggerTransferConfig,20,0,0,0,4,0,2,0,2,0
transfer,com.bank.transfer.entity,CardTransfer,0,87,0,0,0,16,0,15,0,15
transfer,com.bank.transfer.entity,Audit,117,0,0,0,23,0,22,0,22,0
transfer,com.bank.transfer.entity,PhoneTransfer,0,87,0,0,0,16,0,15,0,15
transfer,com.bank.transfer.entity,AccountTransfer.AccountTransferBuilder,10,35,0,0,0,1,1,6,1,6
transfer,com.bank.transfer.entity,AccountTransfer,0,87,0,0,0,16,0,15,0,15
transfer,com.bank.transfer.entity,Audit.AuditBuilder,81,0,0,0,1,0,11,0,11,0
transfer,com.bank.transfer.entity,PhoneTransfer.PhoneTransferBuilder,10,35,0,0,0,1,1,6,1,6
transfer,com.bank.transfer.entity,CardTransfer.CardTransferBuilder,10,35,0,0,0,1,1,6,1,6
